task,model,model_label,transition_scope,spatial_fold,n,observed_mean_aadt_from,observed_mean_aadt_to,predicted_mean_aadt_from,predicted_mean_aadt_to,observed_mean_change,predicted_mean_change,aadt_from_mae,aadt_to_mae,change_mae,zero_change_mae,improvement_pct_vs_zero_change,change_rmse,change_correlation,direction_accuracy_nonzero,mean_loss_difference_vs_zero,bootstrap_95pct_loss_difference_low,bootstrap_95pct_loss_difference_high
known_baseline_temporal,fold_stratum_median_change,Fold-trained stratum median,2011-2016,pooled,799,24011.3767,24563.98,24011.3767,24847.8602,552.6033,836.4834,0.0,2416.2957,2416.2957,2273.9549,-6.2596,4329.013,0.150691,0.491844,142.3407,24.7402,252.0148
known_baseline_temporal,fold_stratum_median_change,Fold-trained stratum median,2016-2021,pooled,812,24742.7956,24089.3227,24742.7956,24760.0944,-653.4729,17.2988,0.0,2548.8333,2548.8333,2440.8374,-4.4245,5547.0265,-0.131796,0.468983,107.9958,38.8548,172.4431
known_baseline_temporal,fold_stratum_median_change,Fold-trained stratum median,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,24380.0372,24803.6232,-55.3011,423.5859,0.0,2483.0992,2483.0992,2358.0695,-5.3022,4980.3075,0.059511,0.480349,125.0297,51.8462,197.9223
known_baseline_temporal,fold_stratum_median_change,Fold-trained stratum median,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,23542.7121,24234.8551,-91.2468,692.143,0.0,3665.2551,3665.2551,3312.9692,-10.6335,7334.078,-0.149251,0.52584,352.286,197.3068,511.229
known_baseline_temporal,official_plus_residual_hgb,Official intensity + residual HGB,2011-2016,pooled,799,24011.3767,24563.98,24011.3767,25521.3877,552.6033,1510.011,0.0,2490.8594,2490.8594,2273.9549,-9.5386,4447.5472,0.254766,0.553325,216.9045,35.4551,399.3101
known_baseline_temporal,official_plus_residual_hgb,Official intensity + residual HGB,2016-2021,pooled,812,24742.7956,24089.3227,24742.7956,25011.1905,-653.4729,268.3949,0.0,2574.3232,2574.3232,2440.8374,-5.4688,5470.739,-0.003901,0.529777,133.4857,62.0345,210.2164
known_baseline_temporal,official_plus_residual_hgb,Official intensity + residual HGB,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,24380.0372,25264.2306,-55.3011,884.1933,0.0,2532.928,2532.928,2358.0695,-7.4153,4989.5668,0.173564,0.541485,174.8585,84.5937,278.8214
known_baseline_temporal,official_plus_residual_hgb,Official intensity + residual HGB,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,23542.7121,24941.6731,-91.2468,1398.961,0.0,3817.468,3817.468,3312.9692,-15.228,7452.8634,-0.039366,0.51938,504.4988,314.3693,693.0735
known_baseline_temporal,region_network_intensity_factor,Region x network intensity,2011-2016,pooled,799,24011.3767,24563.98,24011.3767,25408.6085,552.6033,1397.2318,0.0,2371.3051,2371.3051,2273.9549,-4.2811,4211.3595,0.304976,0.553325,97.3502,-63.8488,237.6684
known_baseline_temporal,region_network_intensity_factor,Region x network intensity,2016-2021,pooled,812,24742.7956,24089.3227,24742.7956,23958.3845,-653.4729,-784.4111,0.0,2459.4489,2459.4489,2440.8374,-0.7625,5008.4805,0.31324,0.519851,18.6115,-74.1043,124.1019
known_baseline_temporal,region_network_intensity_factor,Region x network intensity,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,24380.0372,24677.6452,-55.3011,297.6079,0.0,2415.7327,2415.7327,2358.0695,-2.4454,4630.3203,0.315487,0.536494,57.6631,-39.8374,145.7542
known_baseline_temporal,region_network_intensity_factor,Region x network intensity,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,23542.7121,24088.3281,-91.2468,545.6161,0.0,3202.0114,3202.0114,3312.9692,3.3492,6361.9435,0.272175,0.653747,-110.9578,-272.8876,41.0696
known_baseline_temporal,region_network_vkt_factor,Region x network VKT,2011-2016,pooled,799,24011.3767,24563.98,24011.3767,26097.8774,552.6033,2086.5006,0.0,2673.2058,2673.2058,2273.9549,-17.5576,4623.1804,0.265515,0.560853,399.2509,199.1102,609.3626
known_baseline_temporal,region_network_vkt_factor,Region x network VKT,2016-2021,pooled,812,24742.7956,24089.3227,24742.7956,24816.2317,-653.4729,73.4361,0.0,2530.5653,2530.5653,2440.8374,-3.6761,5374.0957,0.107557,0.588089,89.7279,1.4059,176.5957
known_baseline_temporal,region_network_vkt_factor,Region x network VKT,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,24380.0372,25451.8834,-55.3011,1071.8461,0.0,2601.31,2601.31,2358.0695,-10.3152,5015.7392,0.219418,0.574548,243.2405,132.7058,353.3178
known_baseline_temporal,region_network_vkt_factor,Region x network VKT,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,23542.7121,25615.4098,-91.2468,2072.6978,0.0,3733.6598,3733.6598,3312.9692,-12.6983,7330.1848,0.132086,0.524548,420.6906,172.2837,647.0306
known_baseline_temporal,territory_network_intensity_factor,Territory network intensity,2011-2016,pooled,799,24011.3767,24563.98,24011.3767,26011.9888,552.6033,2000.612,0.0,2773.012,2773.012,2273.9549,-21.9467,4855.053,0.084524,0.560853,499.057,306.3329,679.452
known_baseline_temporal,territory_network_intensity_factor,Territory network intensity,2016-2021,pooled,812,24742.7956,24089.3227,24742.7956,24257.7144,-653.4729,-485.0812,0.0,2498.3125,2498.3125,2440.8374,-2.3547,5078.9602,0.27897,0.503722,57.475,-23.0284,140.2145
known_baseline_temporal,territory_network_intensity_factor,Territory network intensity,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,24380.0372,25127.7735,-55.3011,747.7363,0.0,2634.5539,2634.5539,2358.0695,-11.725,4969.1712,0.185501,0.532127,276.4844,181.5443,364.7044
known_baseline_temporal,territory_network_intensity_factor,Territory network intensity,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,23542.7121,24989.6662,-91.2468,1446.9541,0.0,3708.0391,3708.0391,3312.9692,-11.925,7188.8317,-0.242655,0.510336,395.07,267.7594,525.6956
known_baseline_temporal,territory_total_intensity_factor,Territory intensity factor,2011-2016,pooled,799,24011.3767,24563.98,24011.3767,25898.6438,552.6033,1887.2671,0.0,2718.9049,2718.9049,2273.9549,-19.5672,4740.695,0.083113,0.560853,444.95,274.2964,611.5615
known_baseline_temporal,territory_total_intensity_factor,Territory intensity factor,2016-2021,pooled,812,24742.7956,24089.3227,24742.7956,24785.9418,-653.4729,43.1462,0.0,2449.3341,2449.3341,2440.8374,-0.3481,5331.8135,-0.361442,0.477667,8.4967,4.0294,12.8048
known_baseline_temporal,territory_total_intensity_factor,Territory intensity factor,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,24380.0372,25337.8033,-55.3011,957.7661,0.0,2583.0319,2583.0319,2358.0695,-9.5401,5047.2998,0.104801,0.519027,224.9623,141.8749,308.7355
known_baseline_temporal,territory_total_intensity_factor,Territory intensity factor,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,23542.7121,25437.423,-91.2468,1894.7109,0.0,3875.4018,3875.4018,3312.9692,-16.9767,7590.8954,-0.236028,0.510336,562.4326,376.1638,750.5542
known_baseline_temporal,territory_total_vkt_factor,Territory VKT factor,2011-2016,pooled,799,24011.3767,24563.98,24011.3767,26559.3752,552.6033,2547.9985,0.0,3052.4736,3052.4736,2273.9549,-34.2363,5261.4558,0.083113,0.560853,778.5186,558.2177,1011.9262
known_baseline_temporal,territory_total_vkt_factor,Territory VKT factor,2016-2021,pooled,812,24742.7956,24089.3227,24742.7956,25627.8191,-653.4729,885.0236,0.0,2717.8823,2717.8823,2440.8374,-11.3504,5900.1485,-0.361442,0.477667,277.0449,190.0926,369.5875
known_baseline_temporal,territory_total_vkt_factor,Territory VKT factor,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,24380.0372,26089.8386,-55.3011,1709.8013,0.0,2883.828,2883.828,2358.0695,-22.2961,5592.5037,0.004469,0.519027,525.7584,409.215,655.6404
known_baseline_temporal,territory_total_vkt_factor,Territory VKT factor,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,23542.7121,26972.4356,-91.2468,3429.7235,0.0,4748.1254,4748.1254,3312.9692,-43.3193,9003.3853,-0.236028,0.510336,1435.1562,1149.0319,1740.5667
known_baseline_temporal,zero_change,No change,2011-2016,pooled,799,24011.3767,24563.98,24011.3767,24011.3767,552.6033,0.0,0.0,2273.9549,2273.9549,2273.9549,0.0,4263.3779,,0.0,0.0,,
known_baseline_temporal,zero_change,No change,2016-2021,pooled,812,24742.7956,24089.3227,24742.7956,24742.7956,-653.4729,0.0,0.0,2440.8374,2440.8374,2440.8374,0.0,5309.046,,0.0,0.0,,
known_baseline_temporal,zero_change,No change,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,24380.0372,24380.0372,-55.3011,0.0,0.0,2358.0695,2358.0695,2358.0695,0.0,4818.8761,,0.0,0.0,,
known_baseline_temporal,zero_change,No change,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,23542.7121,23542.7121,-91.2468,0.0,0.0,3312.9692,3312.9692,3312.9692,0.0,6555.2188,,0.0,0.0,,
unseen_location_backcast,independent_hgb_levels,Independent HGB levels,2011-2016,pooled,799,24011.3767,24563.98,21829.3968,22367.322,552.6033,537.9252,12155.5687,12509.3663,3152.0649,2273.9549,-38.616,4835.3928,0.044609,0.525721,878.11,747.009,1021.2406
unseen_location_backcast,independent_hgb_levels,Independent HGB levels,2016-2021,pooled,812,24742.7956,24089.3227,22882.6173,22893.6557,-653.4729,11.0384,12512.0916,12756.4339,3284.7632,2440.8374,-34.5753,5590.7905,0.126361,0.526055,843.9258,688.4389,983.4503
unseen_location_backcast,independent_hgb_levels,Independent HGB levels,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,22360.2566,22632.6125,-55.3011,272.3559,12335.2686,12633.897,3218.9495,2358.0695,-36.5078,5229.7953,0.101418,0.525889,860.88,764.4148,962.9371
unseen_location_backcast,independent_hgb_levels,Independent HGB levels,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,21651.0434,21937.1799,-91.2468,286.1365,11829.4491,12252.5179,4129.8189,3312.9692,-24.6561,6775.0844,0.120348,0.515504,816.8497,667.6419,964.6496
unseen_location_backcast,independent_hierarchy_levels,Independent hierarchy levels,2011-2016,pooled,799,24011.3767,24563.98,22010.2628,22992.1026,552.6033,981.8398,11989.612,12348.4856,2692.1902,2273.9549,-18.3924,4428.3408,0.19334,0.495609,418.2353,277.6906,565.919
unseen_location_backcast,independent_hierarchy_levels,Independent hierarchy levels,2016-2021,pooled,812,24742.7956,24089.3227,23204.5628,22446.6933,-653.4729,-757.8695,11925.3879,11679.1933,2761.2685,2440.8374,-13.1279,5434.4656,0.14838,0.53598,320.431,179.2985,474.5737
unseen_location_backcast,independent_hierarchy_levels,Independent hierarchy levels,primary_adjacent_transitions,pooled,1611,24380.0372,24324.7362,22612.2315,22717.1974,-55.3011,104.9659,11957.2408,12011.139,2727.0081,2358.0695,-15.6458,4961.0329,0.199301,0.515908,368.9385,251.7707,495.2377
unseen_location_backcast,independent_hierarchy_levels,Independent hierarchy levels,2011-2021_sensitivity,pooled,778,23542.7121,23451.4653,21508.8689,21959.2159,-91.2468,450.347,11507.5321,11543.9717,3795.7326,3312.9692,-14.5719,7033.9501,-0.067315,0.476744,482.7635,355.8784,612.4423
unseen_location_backcast,official_intensity_scaled_hgb,Official intensity-scaled HGB,2011-2016,pooled,799,24011.3767,24563.98,21829.3968,23073.933,552.6033,1244.5362,12155.5687,12519.7357,2393.213,2273.9549,-5.2445,4080.7136,0.318037,0.553325,119.258,-12.9376,237.6891
