year_from,year_to,transition,region,road_network,territory_total_vkt_factor,territory_total_intensity_factor,territory_network_intensity_factor,region_network_vkt_factor,region_network_intensity_factor,vkt_minus_intensity_growth_percentage_points,station_pairs_in_stratum
2011,2016,2011-2016,Hong Kong Island,MAJOR,1.1061163,1.07859887,1.08563226,1.05392153,1.03516932,1.875221,153
2011,2016,2011-2016,Hong Kong Island,MINOR,1.1061163,1.07859887,1.03348385,1.04164632,1.03682502,0.48213,59
2011,2016,2011-2016,Kowloon,MAJOR,1.1061163,1.07859887,1.08563226,1.05600896,1.01800847,3.800049,240
2011,2016,2011-2016,Kowloon,MINOR,1.1061163,1.07859887,1.03348385,1.01407832,0.99546032,1.861799,58
2011,2016,2011-2016,New Territories,MAJOR,1.1061163,1.07859887,1.08563226,1.15292327,1.12772707,2.51962,244
2011,2016,2011-2016,New Territories,MINOR,1.1061163,1.07859887,1.03348385,1.0925373,1.04916551,4.337179,45
2016,2021,2016-2021,Hong Kong Island,MAJOR,1.03576894,1.00174379,0.97168101,0.99739169,0.96188288,3.550881,155
2016,2021,2016-2021,Hong Kong Island,MINOR,1.03576894,1.00174379,1.15882511,0.928225,0.92438304,0.384196,61
2016,2021,2016-2021,Kowloon,MAJOR,1.03576894,1.00174379,0.97168101,0.95676932,0.94223798,1.453134,239
2016,2021,2016-2021,Kowloon,MINOR,1.03576894,1.00174379,1.15882511,1.04030666,1.02056105,1.974561,58
2016,2021,2016-2021,New Territories,MAJOR,1.03576894,1.00174379,0.97168101,1.04365113,0.98562614,5.802499,252
2016,2021,2016-2021,New Territories,MINOR,1.03576894,1.00174379,1.15882511,1.36599885,1.3298455,3.615335,47
2011,2021,2011-2021,Hong Kong Island,MAJOR,1.1456809,1.08047972,1.05488825,1.05117258,0.99571165,5.546093,153
2011,2021,2011-2021,Hong Kong Island,MINOR,1.1456809,1.08047972,1.19762704,0.96688215,0.95842347,0.845868,58
2011,2021,2011-2021,Kowloon,MAJOR,1.1456809,1.08047972,1.05488825,1.01035697,0.95920624,5.115073,233
2011,2021,2011-2021,Kowloon,MINOR,1.1456809,1.08047972,1.19762704,1.05495243,1.01592803,3.902439,58
2011,2021,2011-2021,New Territories,MAJOR,1.1456809,1.08047972,1.05488825,1.20324967,1.11151728,9.173239,233
2011,2021,2011-2021,New Territories,MINOR,1.1456809,1.08047972,1.19762704,1.4924047,1.39522803,9.717667,43
