audit_id,review_stratum,road_2023_segment_index,official_name,official_alias,road_longitude,road_latitude,original_osm_id,original_osm_highway,original_osm_group,osm_id,osm_highway,osm_service,osm_highway_group,osm_match_status,osm_match_distance_m,osm_overlap_share,osm_name_similarity,reviewer_verdict,reviewer_note
A001,service,19387,-99,,113.9493749239796,22.31581328082276,way/782395171,service,service,way/782395171,service,,service,high,0.0,1.0,0.0,correct,
A002,service,10443,SAN SHAM ROAD,,114.0768902414489,22.50647164696346,way/157803678,service,service,way/157803678,service,,service,high,0.0,1.0,0.0,correct,
A003,service,5686,-99,,114.24110692707828,22.42586244202111,way/169227830,service,service,way/169227830,service,,service,high,0.0,1.0,0.0,correct,
A004,service,22492,-99,,114.20168355167932,22.293279458801752,way/418204764,service,service,way/418204764,service,,service,high,0.0,1.0,0.0,correct,
A005,service,5169,CHEONG YIP ROAD,,113.93501514562122,22.32009166341077,way/773738377,service,service,way/773738377,service,,service,high,1.87521380583735,1.0,1.0,correct,
A006,service,22605,-99,,114.16711930151348,22.245231841489904,way/155997236,service,service,way/155997236,service,,service,high,0.0,0.9497329871115048,0.0,parallel_carriageway_mismatch,
A007,service,18364,SHUN HANG ROAD,,113.95286040492496,22.32052585592501,way/555322354,service,service,way/555322354,service,station_access,service,high,1.7234706145329886,1.0,1.0,correct,
A008,service,26168,PAK LAM ROAD,,114.05960715432306,22.35569115573886,way/40484543,service,service,way/40484543,service,,service,high,1.0580666855444782,1.0,1.0,correct,
A009,service,22148,-99,,114.09674514253264,22.35734691858747,way/295328863,service,service,way/295328863,service,,service,high,0.0,1.0,0.0,correct,
A010,service,3958,-99,,114.1755173988986,22.27301870253132,way/88377348,service,service,way/88377348,service,,service,high,0.0,1.0,0.0,correct,
A011,service,2747,,Roundabout,114.17885599779213,22.368477330450517,way/138461239,service,service,way/138461239,service,,service,high,2.605111121724886,1.0,0.0,correct,
A012,service,12849,-99,,113.98340960049842,22.445276146614805,way/161558731,service,service,way/161558731,service,,service,high,0.739474143119853,1.0,0.0,correct,
A013,service,15458,-99,,114.12731651491488,22.36232072275865,way/1075813424,service,service,way/1075813424,service,,service,high,0.8619568931221463,1.0,0.0,correct,
A014,service,20575,-99,,114.03776173349036,22.44424735737061,way/756213919,cycleway,other,way/302153529,service,,service,high,0.0,0.8614755912299279,0.0,correct,
A015,service,2856,-99,,114.22373273014291,22.277382554358788,way/86385971,service,service,way/86385971,service,,service,high,0.3831654470346299,1.0,0.0,correct,
A016,service,20223,-99,,114.2087245113823,22.42782412839171,way/323785019,service,service,way/323785019,service,,service,high,0.0,0.9647608462133964,0.0,wrong_road,
A017,service,13314,-99,,113.97963648700178,22.413937341045077,way/514352266,service,service,way/514352266,service,,service,high,0.3929118762910254,1.0,0.0,correct,
A018,service,22268,SHUN MING ROAD,,113.95249006318424,22.314056165359972,way/780550351,service,service,way/780550351,service,,service,high,0.4979649272633483,1.0,1.0,correct,
A019,service,12676,-99,,114.20008006378588,22.34502794770891,way/86041590,service,service,way/86041590,service,,service,high,0.6801765255542522,0.7926562133241977,0.0,correct,
A020,service,14693,-99,,114.10638580530404,22.348389980931294,way/205762959,service,service,way/205762959,service,,service,high,1.2663646886526942,1.0,0.0,correct,
A021,service,30804,WYLIE PATH,,114.17757602243144,22.307605727320365,way/103020504,service,service,way/103020504,service,,service,high,1.4617391598679907,1.0,0.0,correct,
A022,service,34346,-99,,113.9483402116446,22.36251683535836,way/611130758,service,service,way/611130758,service,,service,high,1.2167141215901542,1.0,0.0,correct,
A023,service,25701,-99,,114.04152772509838,22.44565397979648,way/801425591,service,service,way/801425591,service,,service,high,0.0,0.6350101925563026,0.0,correct,
A024,service,3036,-99,,114.20720162466968,22.380078846584865,way/135995862,service,service,way/135995862,service,,service,high,0.0,1.0,0.0,correct,
A025,service,15054,LANTAU LINK,,114.07229317858896,22.350706292728827,way/517711048,service,service,way/517711048,service,,service,high,0.0,1.0,0.0,correct,
A026,originally_nonmotorized,12803,SAU MING ROAD,,114.23105264189287,22.321064383666823,way/1167461285,footway,other,way/1018496025,tertiary,,tertiary,high,0.0,0.5522879883613819,1.0,correct,
A027,originally_nonmotorized,14165,-99,,114.2031144961628,22.340734490760298,way/717610454,footway,other,way/108037458,service,,service,high,3.132466250637548,1.0,0.0,correct,
A028,originally_nonmotorized,25592,YUEN LONG ON LOK ROAD,,114.03187522712764,22.44566288956,way/515579436,footway,other,way/302152953,primary,,primary,high,7.721226405563321,0.5507111927265258,1.0,parallel_carriageway_mismatch,
A029,originally_nonmotorized,24389,SHAN MEI STREET,,114.19349516770993,22.396948351832105,way/655661786,footway,other,way/135716457,unclassified,,local,high,1.4968141899156104,0.5818982467381546,1.0,wrong_road,
A030,originally_nonmotorized,26424,MUT WAH STREET,,114.22450404899388,22.314992694010037,way/906124035,footway,other,way/749171165,secondary,,secondary,high,0.0408904710227457,0.8258330268107862,1.0,correct,
A031,originally_nonmotorized,11275,PO LAM ROAD NORTH,,114.255937019444,22.32719764589689,way/859104224,footway,other,way/859104281,secondary,,secondary,high,1.8160543173205896,0.8819045961559843,1.0,correct,
A032,originally_nonmotorized,16817,,,114.1758493903258,22.296799125449,way/103020428,footway,other,way/1161090700,service,station_access,service,high,0.0,1.0,0.0,wrong_road,
A033,originally_nonmotorized,1350,AP LEI CHAU BRIDGE ROAD,,114.15593543896192,22.243452863192395,way/462937258,footway,other,way/232499456,secondary,,secondary,high,0.0,0.8909814534729295,1.0,correct,
A034,originally_nonmotorized,16055,-99,,114.1712780922866,22.294210981067764,way/709674316,footway,other,way/709674312,service,driveway,service,high,0.0,0.8207784676463844,0.0,correct,
A035,originally_nonmotorized,22276,-99,,114.20918171832184,22.31000132313842,way/1112441090,footway,other,way/813745756,service,,service,high,0.0561062827753942,1.0,0.0,correct,
A036,originally_nonmotorized,5133,SOUTH LANTAU ROAD,,113.97925627084108,22.24452229033215,way/700447068,footway,other,way/298736707,secondary,,secondary,high,0.0,0.5911652134027775,1.0,correct,
A037,originally_nonmotorized,12373,SALISBURY ROAD,,114.17216716710244,22.29483524980448,way/709674276,footway,other,way/709674359,primary,,primary,high,0.0,0.7435947239310899,1.0,indeterminate,
A038,originally_nonmotorized,25023,WING FONG ROAD,,114.1284937767422,22.360266721507735,way/702451899,footway,other,way/817830561,unclassified,,local,high,0.6228235739221971,0.8436646919472945,1.0,correct,
A039,originally_nonmotorized,33739,-99,Tseung Kwan O - Lam Tin Tunnel,114.23340758205728,22.301703381017468,way/561312062,construction,other,way/561312070,motorway_link,,motorway,moderate,8.3881839532685,0.2759356472327968,0.3333333333333333,grade_level_mismatch,
A040,originally_nonmotorized,24320,TAIKOO WAN ROAD,,114.21765365128324,22.287369273045652,way/734156863,footway,other,way/734156860,tertiary,,tertiary,high,3.0190570624723887,0.8851845563996189,1.0,correct,
A041,originally_nonmotorized,2363,WONG NAI CHUNG ROAD,,114.18251901792364,22.27625849709385,way/568673243,footway,other,way/494446485,tertiary,,tertiary,high,1.9516044714212124,1.0,1.0,correct,
A042,originally_nonmotorized,6506,PO LAM ROAD NORTH,,114.25419192172927,22.32692265854785,way/666924075,cycleway,other,way/859104282,secondary,,secondary,high,2.012299715834454,0.4642584530963181,1.0,correct,
A043,originally_nonmotorized,6311,-99,,114.219127735594,22.47055466602772,way/539588740,footway,other,way/539588739,residential,,local,high,0.0,1.0,0.0,correct,
A044,originally_nonmotorized,4370,-99,,114.01468433017106,22.443791376886043,way/968813748,footway,other,way/968813759,service,,service,high,2.633542897201309,1.0,0.0,correct,
A045,originally_nonmotorized,12644,CHUNG WA ROAD,,114.26648619170476,22.316450946700296,way/849385790,footway,other,way/127125323,residential,,local,high,0.0,0.8490609931690976,0.1764705882352941,correct,
A046,originally_nonmotorized,15842,YAN WING STREET,,114.23903690177524,22.29421489181012,way/948158986,footway,other,way/111855539,residential,,local,high,1.421719664440831,1.0,1.0,correct,
A047,originally_nonmotorized,15809,,,114.20058193161728,22.338721508803182,way/394889427,footway,other,way/992911417,secondary,,secondary,high,0.2719813064203714,1.0,0.0,correct,
A048,originally_nonmotorized,18045,GORDON ROAD,,114.19106284422368,22.28569351356782,way/529790943,footway,other,way/26994764,secondary,,secondary,high,1.1166894046800444,0.8562924314469001,1.0,correct,
A049,originally_nonmotorized,31363,-99,,114.2035592434772,22.340242826407863,way/722352804,footway,other,way/86041474,motorway,,motorway,high,1.5951599251930604,0.717650799189655,0.0,correct,
A050,originally_nonmotorized,30592,CASTLE PEAK ROAD - SHAM TSENG,,114.06608150799572,22.364029883259157,way/447026434,footway,other,way/198399251,primary,,primary,high,0.0,0.7141635854151652,1.0,correct,
A051,minor_station_link,73,PLANTATION ROAD,,114.15289668078827,22.26758135941837,way/156335571,unclassified,local,way/156335571,unclassified,,local,high,0.0,1.0,1.0,correct,
A052,minor_station_link,12398,ARRAN STREET,,114.16665181828108,22.322644826754036,way/783793803,tertiary,tertiary,way/783793803,tertiary,,tertiary,high,0.4143994718564864,1.0,1.0,correct,
A053,minor_station_link,19709,TSAT TSZ MUI ROAD,,114.20777618934206,22.290966114525915,way/27152592,residential,local,way/27152592,residential,,local,high,1.4880205336143195,1.0,1.0,correct,
A054,minor_station_link,11695,CHI FU ROAD,,114.13907449734876,22.25529242854783,way/249853517,tertiary,tertiary,way/249853517,tertiary,,tertiary,high,1.6200911686846964,0.6764678647468877,1.0,correct,
A055,minor_station_link,21212,HOLY CROSS PATH,,114.2226802965182,22.28165976598766,way/148193727,residential,local,way/148193727,residential,,local,high,0.0,1.0,1.0,correct,
A056,minor_station_link,28752,PO FUNG ROAD,,114.09841855948171,22.36957481270897,way/172207248,unclassified,local,way/172207248,unclassified,,local,high,0.0,1.0,1.0,correct,
A057,minor_station_link,31844,MIDDLE ROAD,,114.17097882500296,22.29551888198314,way/493061949,tertiary,tertiary,way/493061949,tertiary,,tertiary,high,0.98759632718168,0.8686976361104535,1.0,correct,
A058,minor_station_link,34041,OCEAN PARK ROAD,,114.17112553999966,22.248921254033103,way/92167215,tertiary,tertiary,way/92167215,tertiary,,tertiary,high,0.0,1.0,1.0,correct,
A059,minor_station_link,16557,FA YUEN STREET,,114.16976368078666,22.32598523236148,way/150771608,unclassified,local,way/150771608,unclassified,,local,high,0.0,1.0,1.0,correct,
A060,minor_station_link,415,BARKER ROAD,,114.16116320510751,22.27107452732284,way/156335531,unclassified,local,way/156335531,unclassified,,local,high,0.0,1.0,1.0,correct,
A061,minor_station_link,12847,WING LOK STREET,,114.15296357823696,22.285880307740385,way/148228878,unclassified,local,way/148228878,unclassified,,local,high,0.0350147118764585,1.0,1.0,correct,
A062,minor_station_link,19669,MIU KONG STREET,,114.12211637520872,22.372063449776498,way/29371690,secondary,secondary,way/29371690,secondary,,secondary,high,0.0,1.0,1.0,correct,
A063,minor_station_link,2404,STANLEY VILLAGE ROAD,,114.2140951868896,22.224617279755904,way/295805756,secondary,secondary,way/295805756,secondary,,secondary,high,0.0,1.0,1.0,correct,
A064,minor_station_link,1822,SHING ON STREET,,114.22175755758728,22.28188922082794,way/492853855,tertiary,tertiary,way/492853855,tertiary,,tertiary,high,0.7097305248496254,0.8408257176694326,1.0,correct,
A065,minor_station_link,29549,PLOVER COVE ROAD,,114.16731130387844,22.44941499910574,way/27084706,tertiary,tertiary,way/27084706,tertiary,,tertiary,high,0.038781056969576,1.0,1.0,correct,
A066,minor_station_link,1692,BISNEY ROAD,,114.12956135987656,22.27040091366693,way/156335532,unclassified,local,way/156335532,unclassified,,local,high,0.0,0.5225739432845661,1.0,correct,
A067,minor_station_link,14732,PO ON ROAD,,114.15917954274536,22.33763882907781,way/103430667,tertiary,tertiary,way/103430667,tertiary,,tertiary,high,0.0,1.0,1.0,correct,
A068,minor_station_link,9440,DEEP BAY ROAD,,113.98868588226726,22.47247012510875,way/166243486,tertiary,tertiary,way/166243486,tertiary,,tertiary,high,0.0,1.0,1.0,correct,
A069,minor_station_link,3495,WING LOK STREET,,114.14880778985868,22.28733875524091,way/764545632,unclassified,local,way/764545632,unclassified,,local,high,0.0,1.0,1.0,correct,
A070,minor_station_link,34777,SHEUNG PING STREET,,114.24211211329754,22.268436133972155,way/28808644,unclassified,local,way/28808644,unclassified,,local,high,0.0,1.0,1.0,correct,
A071,minor_station_link,10865,WANG LOK STREET,,114.0256242323056,22.44935707626776,way/302152916,secondary,secondary,way/302152916,secondary,,secondary,high,0.0,1.0,1.0,correct,
A072,minor_station_link,1743,SAI ON STREET,,114.15500078202052,22.248817002007712,way/23666695,residential,local,way/23666695,residential,,local,high,0.0034927465389625,1.0,1.0,correct,
A073,minor_station_link,31297,CHUI LING ROAD,,114.25400301752023,22.305063871078623,way/197995795,secondary,secondary,way/197995795,secondary,,secondary,high,0.0,1.0,1.0,correct,
A074,minor_station_link,2938,STATION LANE,,114.18716777441426,22.307028157261698,way/85320783,residential,local,way/85320783,residential,,local,high,0.0,1.0,1.0,correct,
A075,minor_station_link,16332,LUNG WUI ROAD,,114.1675715587796,22.2809492242744,way/101959147,secondary,secondary,way/101959147,secondary,,secondary,high,0.0,1.0,1.0,correct,
A076,hong_kong_island_station_link,22223,TAI HANG ROAD,,114.18630373482677,22.263249609981315,way/783063744,secondary,secondary,way/783063744,secondary,,secondary,high,0.0,0.7356173049804939,1.0,correct,
A077,hong_kong_island_station_link,1499,BELCHER'S STREET,,114.13222807425632,22.28511116541114,way/263231403,secondary,secondary,way/263231403,secondary,,secondary,high,1.570020433992115,1.0,1.0,correct,
A078,hong_kong_island_station_link,17851,VICTORIA PARK ROAD,Slip Road,114.1847198904078,22.282665916445865,way/486608998,primary,primary,way/486608998,primary,,primary,high,1.5119358550497752,0.4619069203095462,1.0,correct,
A079,hong_kong_island_station_link,2347,TAI HANG ROAD,,114.19090337548568,22.264069164152865,way/93202921,secondary,secondary,way/93202921,secondary,,secondary,high,0.283229067065464,1.0,1.0,correct,
A080,hong_kong_island_station_link,3453,FORTRESS HILL ROAD,,114.19508806937064,22.28668522904522,way/32558841,tertiary,tertiary,way/32558841,tertiary,,tertiary,high,0.0,1.0,1.0,correct,
A081,hong_kong_island_station_link,31926,ISLAND EASTERN CORRIDOR,,114.23865256460186,22.270675024423955,way/458073302,motorway,motorway,way/458073302,motorway,,motorway,high,0.0,1.0,1.0,correct,
A082,hong_kong_island_station_link,1707,JUSTICE DRIVE,,114.16621105507444,22.276922706644665,way/87261109,unclassified,local,way/87261109,unclassified,,local,high,1.5002031096599548,1.0,1.0,correct,
A083,hong_kong_island_station_link,16350,CANAL ROAD FLYOVER,,114.18113452297736,22.27746376148828,way/462275984,trunk,trunk,way/462275984,trunk,,trunk,high,0.8911345712042023,0.635022282400555,1.0,correct,
A084,hong_kong_island_station_link,175,ROBINSON ROAD,,114.15020149851344,22.280758385309007,way/89863490,secondary,secondary,way/89863490,secondary,,secondary,high,0.0,0.95820698534892,1.0,correct,
A085,hong_kong_island_station_link,734,DES VOEUX ROAD CENTRAL,,114.1528826680378,22.28639359943691,way/151226287,secondary,secondary,way/151226287,secondary,,secondary,high,0.5109934048300904,1.0,1.0,correct,
A086,hong_kong_island_station_link,22027,VICTORIA ROAD,,114.11772793665352,22.27856918815272,way/156335598,secondary,secondary,way/156335598,secondary,,secondary,high,0.0,1.0,1.0,correct,
A087,hong_kong_island_station_link,25516,ISLAND EASTERN CORRIDOR,,114.20638077706488,22.29392148057129,way/247858520,motorway,motorway,way/247858520,motorway,,motorway,high,0.0,0.7654098219291479,1.0,correct,
A088,hong_kong_island_station_link,1806,KING'S ROAD,,114.19623932797188,22.290283994144755,way/899087212,secondary,secondary,way/899087212,secondary,,secondary,high,0.0,1.0,1.0,correct,
A089,hong_kong_island_station_link,24058,CLOUD VIEW ROAD,,114.19502679531402,22.2855425005802,way/783024727,tertiary,tertiary,way/783024727,tertiary,,tertiary,high,0.0,1.0,1.0,correct,
A090,hong_kong_island_station_link,2588,CHAI WAN ROAD,,114.24555211327278,22.265953029057695,way/97816027,secondary,secondary,way/97816027,secondary,,secondary,high,0.0,1.0,1.0,correct,
A091,hong_kong_island_station_link,383,STUBBS ROAD,,114.18157493465148,22.266244779876693,way/1173964856,secondary,secondary,way/1173964856,secondary,,secondary,high,0.0,1.0,1.0,correct,
A092,hong_kong_island_station_link,1214,CHEUNG LEE STREET,,114.23507393233656,22.26583909699893,way/518384651,residential,local,way/518384651,residential,,local,high,0.0960442532279832,1.0,1.0,correct,
A093,hong_kong_island_station_link,861,JAVA ROAD,,114.2033004146601,22.292952656647405,way/85686212,secondary,secondary,way/85686212,secondary,,secondary,high,0.0,1.0,1.0,correct,
A094,hong_kong_island_station_link,809,ELECTRIC ROAD,,114.19126934400512,22.283006476333327,way/1167293670,footway,other,way/756568980,tertiary,,tertiary,high,0.0,0.9161654017938118,0.1333333333333333,correct,
A095,hong_kong_island_station_link,23775,SHEK PAI WAN ROAD,,114.14055271889376,22.25245398414952,way/260765915,primary,primary,way/260765915,primary,,primary,high,0.0,0.7365223960763452,1.0,correct,
A096,hong_kong_island_station_link,2540,GREEN LANE,,114.18824148353906,22.265136885141807,way/729968046,residential,local,way/729968046,residential,,local,high,0.5472433474986447,0.7316261610341873,1.0,correct,
A097,hong_kong_island_station_link,3827,MAGAZINE GAP ROAD,,114.15944649005792,22.273449070931694,way/156335554,secondary,secondary,way/156335554,secondary,,secondary,high,0.0,1.0,1.0,correct,
A098,hong_kong_island_station_link,33298,CONNAUGHT ROAD CENTRAL,,114.15261670267444,22.28712057701009,way/33613890,primary,primary,way/33613890,primary,,primary,high,0.3186358353482277,0.7432514750931455,1.0,correct,
A099,hong_kong_island_station_link,2888,JAVA ROAD,,114.20210490975582,22.29270392824794,way/85686227,secondary,secondary,way/85686227,secondary,,secondary,high,0.0,1.0,1.0,correct,
A100,hong_kong_island_station_link,2314,SMITHFIELD,,114.12941905093676,22.2799018226116,way/867550306,footway,other,way/52138546,secondary,,secondary,high,0.0,0.9082308693838352,1.0,correct,
