osm_highway,official_segment_count_original_match,frozen_motor_candidate,source_way_count
secondary,7366,True,9228.0
tertiary,5340,True,6534.0
residential,5074,True,10099.0
service,4194,True,33441.0
unclassified,3704,True,5122.0
primary,2961,True,5877.0
footway,1904,False,63499.0
motorway,1341,True,2388.0
motorway_link,858,True,2107.0
primary_link,586,True,2502.0
trunk,529,True,1583.0
secondary_link,377,True,1133.0
trunk_link,280,True,1160.0
construction,112,False,1173.0
tertiary_link,105,True,316.0
pedestrian,102,False,2457.0
cycleway,52,False,2336.0
,38,False,
living_street,19,True,241.0
path,18,False,7766.0
steps,12,False,9412.0
platform,10,False,72.0
proposed,4,False,96.0
track,2,True,686.0
junction,2,False,1.0
