model,predicted_quintile,n,observed_mean,predicted_mean,aggregate_bias_pct,binning_direction
hierarchy_lookup,1,176,8565.113636363636,6028.522727272727,-29.615379512557546,condition_on_prediction_not_observation
hierarchy_lookup,2,176,12528.40909090909,10169.744318181818,-18.8265306122449,condition_on_prediction_not_observation
hierarchy_lookup,3,175,18792.17142857143,14251.114285714286,-24.164621742184437,condition_on_prediction_not_observation
hierarchy_lookup,4,176,23301.079545454544,19556.81818181818,-16.069046742371963,condition_on_prediction_not_observation
hierarchy_lookup,5,176,52773.75,50377.47159090909,-4.54066350996643,condition_on_prediction_not_observation
osm_absolute,1,176,5594.886363636364,5030.215483297562,-10.09262465112512,condition_on_prediction_not_observation
osm_absolute,2,176,12440.28409090909,11395.218229252585,-8.40065913301933,condition_on_prediction_not_observation
osm_absolute,3,175,18029.77142857143,16847.719193699904,-6.556113257200521,condition_on_prediction_not_observation
osm_absolute,4,176,27118.352272727272,23034.216696213603,-15.06041198757144,condition_on_prediction_not_observation
osm_absolute,5,176,52772.89772727273,48952.64501132693,-7.239042918750906,condition_on_prediction_not_observation
osm_poisson,1,176,5640.113636363636,5290.299381339275,-6.202255443383193,condition_on_prediction_not_observation
osm_poisson,2,176,12486.53409090909,10305.000294044567,-17.471091505310554,condition_on_prediction_not_observation
osm_poisson,3,175,18730.457142857143,15953.109775743242,-14.827974277034887,condition_on_prediction_not_observation
osm_poisson,4,176,24593.409090909092,23979.697444583824,-2.495431373733886,condition_on_prediction_not_observation
osm_poisson,5,176,54509.65909090909,55458.44677213446,1.7405863420334706,condition_on_prediction_not_observation
osm_squared_error,1,176,6730.625,4272.648551949696,-36.5192897843856,condition_on_prediction_not_observation
osm_squared_error,2,176,12184.488636363636,10824.741107168928,-11.159660202207014,condition_on_prediction_not_observation
osm_squared_error,3,175,18961.657142857144,17346.458602949806,-8.518235129653641,condition_on_prediction_not_observation
osm_squared_error,4,176,24756.988636363636,27379.830497175804,10.594349334392298,condition_on_prediction_not_observation
osm_squared_error,5,176,53327.72727272727,60570.28499862636,13.581223307828948,condition_on_prediction_not_observation
structure_gtfs_absolute,1,176,7045.340909090909,5823.024061112199,-17.349293153458362,condition_on_prediction_not_observation
structure_gtfs_absolute,2,176,12376.875,10803.331917674594,-12.713573356161447,condition_on_prediction_not_observation
structure_gtfs_absolute,3,175,19716.4,16039.553238067414,-18.64867197831544,condition_on_prediction_not_observation
structure_gtfs_absolute,4,176,26477.784090909092,21463.01793555417,-18.939523557323277,condition_on_prediction_not_observation
structure_gtfs_absolute,5,176,50349.375,47480.245548328705,-5.698441046529967,condition_on_prediction_not_observation
