model,stratum,n,observed_mean,predicted_mean,aggregate_bias_pct
hierarchy_lookup,all,879,23197.11035267349,20083.361774744026,-13.4230019627018
hierarchy_lookup,region:Hong Kong Island,222,20285.99099099099,17573.49099099099,-13.37129648339399
hierarchy_lookup,region:Kowloon,308,23239.83766233766,19660.665584415583,-15.401020135878412
hierarchy_lookup,region:New Territories,349,25011.174785100287,22052.936962750715,-11.827664425070742
hierarchy_lookup,road_network:MAJOR,697,27639.48350071736,22800.380200860833,-17.507936788076858
hierarchy_lookup,road_network:MINOR,182,6184.285714285715,9678.076923076924,56.494660340814185
hierarchy_lookup,road_type:DISTRICT DISTRIBUTOR,282,15660.709219858156,15048.173758865249,-3.9112881312948335
hierarchy_lookup,road_type:EXPRESSWAY,45,73091.11111111111,65427.11111111111,-10.485543157702715
hierarchy_lookup,road_type:LOCAL DISTRIBUTOR,263,7424.448669201521,10370.779467680608,39.68416955593226
hierarchy_lookup,road_type:PRIMARY DISTRIBUTOR,200,29847.75,21509.7,-27.9352715028771
hierarchy_lookup,road_type:RURAL ROAD,24,15765.0,17999.375,14.173009831906121
hierarchy_lookup,road_type:RURAL TRUNK ROAD,7,36290.0,17512.85714285714,-51.74192024564028
hierarchy_lookup,road_type:URBAN TRUNK ROAD,58,71211.55172413793,49680.0,-30.23603783772005
hierarchy_lookup,osm_highway_group:local,138,6414.420289855072,8701.376811594202,35.65336255493171
hierarchy_lookup,osm_highway_group:motorway,84,58116.42857142857,53991.90476190476,-7.097001503549935
hierarchy_lookup,osm_highway_group:primary,147,32358.231292517008,18477.210884353743,-42.89795781073274
hierarchy_lookup,osm_highway_group:secondary,287,17721.811846689896,15580.644599303136,-12.082101231577457
hierarchy_lookup,osm_highway_group:service,5,39332.0,35301.0,-10.248652496694802
hierarchy_lookup,osm_highway_group:tertiary,168,9754.82142857143,10938.333333333334,12.132584009128575
hierarchy_lookup,osm_highway_group:trunk,50,58900.0,54304.5,-7.802207130730051
osm_absolute,all,879,23197.11035267349,21056.7859531666,-9.22668542317046
osm_absolute,region:Hong Kong Island,222,20285.99099099099,16102.652091225857,-20.621811878073668
osm_absolute,region:Kowloon,308,23239.83766233766,21495.631166138624,-7.505243890002239
osm_absolute,region:New Territories,349,25011.174785100287,23820.83578627681,-4.759228660992725
osm_absolute,road_network:MAJOR,697,27639.48350071736,24438.9714835642,-11.579492855103792
